city,year,affordability_ratio
Düsseldorf,1981,0.17149429211724748
Düsseldorf,1982,0.1597947448646529
Düsseldorf,1983,0.1725056723180316
Düsseldorf,1984,0.1579174759905021
Düsseldorf,1985,0.1504227944168211
Düsseldorf,1986,0.13791011946229312
Düsseldorf,1987,0.13449855034750918
Düsseldorf,1988,0.12283220146234385
Düsseldorf,1989,0.14152124407373629
Düsseldorf,1990,0.17513465022171248
Düsseldorf,1991,0.20023117583855746
Düsseldorf,1992,0.18963646076667345
Düsseldorf,1993,0.17267192597352707
Düsseldorf,1994,0.173885442107011
Düsseldorf,1995,0.17968084386636712
Düsseldorf,1996,0.17486667717388937
Düsseldorf,1997,0.17549023424244814
Düsseldorf,1998,0.169661265067288
Düsseldorf,1999,0.16790329106450477
Düsseldorf,2000,0.17605215331973784
Düsseldorf,2001,0.1675436995471694
Düsseldorf,2002,0.17072670298586734
Düsseldorf,2003,0.15507877157967742
Düsseldorf,2004,0.16376318462996667
Düsseldorf,2005,0.1553644557644803
Düsseldorf,2006,0.17000681309250168
Düsseldorf,2007,0.17689556496477457
Düsseldorf,2008,0.16900601238942303
Düsseldorf,2009,0.18230790332522345
Düsseldorf,2010,0.17825349414938269
Düsseldorf,2011,0.1722904219353859
Düsseldorf,2012,0.2071838753392016
Düsseldorf,2013,0.20226692585393288
Düsseldorf,2014,0.2221184047019615
Düsseldorf,2015,0.21281873462522416
Düsseldorf,2016,0.23410408746693082
Düsseldorf,2017,0.25006918528163874
Düsseldorf,2018,0.22651181330833356
Düsseldorf,2019,0.23480616474498162
